dish_id,ingredients,total_mass,total_calories
dish_1564432238,"cherry tomatoes, cauliflower, lime, mayonnaise, jalapenos, pepperoni pizza, parsley, vinegar, lemon juice, cabbage, mixed greens, lettuce, salt, pepper, pineapple, pork, wheat berry, onions, cucumbers, olive oil, garlic, carrot",315.0,455.387939
dish_1563468327,"yam, sweet potato, cottage cheese, pineapple, watermelon, olive oil, berries",483.0,351.886047
dish_1562862493,scrambled eggs,134.0,198.320007
dish_1558549008,cherry tomatoes,115.0,20.700001
dish_1560453174,"basil, rosemary, carrot, olive oil, almonds, lemon juice, parsley, green beans, blueberries, chicken, pepper, salt, garlic, vinegar, zucchini, mustard, spinach (raw), thyme, wheat berry, squash",256.0,329.716248
dish_1563824250,onions,43.0,17.200001
dish_1560543755,"green onions, chicken, cauliflower, green beans, spinach (raw), ginger, olive oil, roasted potatoes, mixed greens, carrot, broccoli, salt, white rice, vinegar, rice noodles, cabbage, radishes, soy sauce, garlic",264.0,257.924927
dish_1563822597,"broccoli, caesar salad, squash, zucchini",176.0,59.400002
dish_1558459276,white rice,79.0,102.699997
dish_1560974707,"onions, spinach (raw), cherry tomatoes, tortilla chips, corn, cheese, salt, chili, tomatoes, garlic, lime, sour cream, black beans",60.0,55.025124
dish_1564686855,"cucumbers, onions, brownies, chicken breast, cherry tomatoes, olives, salt, lettuce, cheese pizza, mixed greens, lime, pepper, olive oil, vinegar",435.0,1030.160645
dish_1565119669,"kale, zucchini, chard, chayote squash",229.0,55.965
dish_1566417516,"wheat berry, eggplant, cherry tomatoes, mixed greens, celery root, salt, mustard, garlic, olive oil, vinegar, chard, fish, chive, shallots, roasted potatoes, parsley, lemon juice",425.0,385.402527
dish_1558724031,"cherry tomatoes, cantaloupe, almonds, cauliflower",303.0,358.710999
dish_1558637393,almonds,128.0,739.968018
dish_1563393217,"zucchini, broccoli, squash, onions, cucumbers",228.0,49.230003
dish_1562789268,"pork, corn on the cob, brown rice, lemon juice, parsley, basil, shallots, cherry tomatoes, cheese pizza, pepper, salt, vinegar, olive oil, onions, garlic, broccoli",350.0,569.511536
dish_1559700851,"spinach (raw), vinegar, tomatoes, salt, mustard, garlic, olive oil, mustard greens, cucumbers",54.0,61.089886
dish_1561492204,"olive oil, blueberries, onions, tomatoes, salt, fried rice, chicken, pepper, mustard, garlic, bell peppers, millet, jalapenos, spinach (raw), vinegar, radishes",334.0,488.636322
dish_1567613057,"olive oil, egg whites, watermelon, sweet potato, salsa",749.0,406.68631
dish_1564761488,"turkey bacon, egg whites, fried rice, honeydew melons",336.0,327.986023
dish_1559678330,"olive oil, spinach (raw), vinegar, tomatoes, garlic, cucumbers, salt, mustard, mustard greens",150.0,169.694122
dish_1565033110,"broccoli, mixed greens",147.0,47.599998
dish_1564428444,"olive oil, onions, salt, garlic, pears, mixed greens, mustard, cherry tomatoes, cauliflower, vinegar",277.0,157.001038
dish_1558459115,"almonds, apple, white rice, cherry tomatoes, grapes",298.0,271.540009
dish_1558723777,apple,143.0,74.360001
dish_1558721757,almonds,133.0,768.873047
dish_1564777960,"spinach (cooked), cheese pizza, shallots, onions, salt, olive oil, vinegar, bok choy, beef, millet",147.0,331.007507
dish_1563468269,"berries, watermelon, pineapple",302.0,129.01001
dish_1558380557,"grapes, almonds, sausage",212.0,699.320068
dish_1562873028,"jicama, parsley, nopales, olive oil, cherry tomatoes, chive, fish, pepper, salt, corn, arugula, sour cream, green beans, celery, carrot, couscous, garlic, lime",320.0,280.3414
dish_1558637769,apple,154.0,80.079994
dish_1558724959,"brussels sprouts, carrot, almonds, apple",426.0,581.441956
dish_1558115867,almonds,23.0,132.962997
dish_1561580370,"spinach (raw), wheat berry, cheese, cherry tomatoes, pasta, pesto, caesar salad, onions",124.0,126.795876
dish_1561061658,"croutons, pepper, parmesan cheese, brussels sprouts, mustard greens, garlic, kale, parsley, salt, shallots, arugula, olive oil, lemon juice, caesar dressing, cranberries, bulgur, apple",227.0,226.000137
dish_1559838402,"bacon, sweet potato, yam, berries",233.0,222.759506
dish_1564686832,"onions, brownies, olives, chicken breast, salt, lime, cherry tomatoes, cheese pizza, lettuce, pepper, mixed greens, olive oil, vinegar, cucumbers",392.0,829.737549
dish_1561753238,"olive oil, arugula, brown rice, pepper, squash, kale, salmon, parsley, garlic, lemon juice, salt, tatsoi, thyme, cucumbers",333.0,298.034393
dish_1566938026,"spinach (cooked), wine, cheese pizza, salt, lemon juice, squash, eggplant, mushroom, chicken thighs, olive oil, quinoa, garlic, shallots",219.0,450.576294
dish_1559751801,"berries, yam, eggs, chicken apple sausage",343.0,451.635986
dish_1564000490,"pepper, arugula, cream, caesar salad, butter, shallots, cheese pizza, salt, garlic, lemon juice, basil, mushroom, wheat berry, oregano, thyme, olive oil, rosemary, white wine, chicken",325.0,532.706482
dish_1564000459,"butter, wheat berry, thyme, olive oil, rosemary, lemon juice, cheese pizza, shallots, garlic, salt, white wine, pepper, cream, mushroom, arugula, oregano, basil, chicken",217.0,485.186493
dish_1558457530,cauliflower,64.0,16.0
dish_1558723449,apple,143.0,74.360001
dish_1567628157,"green onions, fish, apple, arugula, onions, chard, country rice, cranberries, lemon juice, garlic, salt, parsley, kale, olive oil, mustard greens, shallots, bulgur",355.0,373.190979
dish_1565728415,"cheese pizza, shallots, spinach (cooked), onions, olive oil, vinegar, millet, salt, bok choy, beef",80.0,194.42775
dish_1565383026,"spinach (raw), cucumbers, olives",287.0,171.559998
dish_1558642089,carrot,96.0,39.360001
dish_1562959732,"salt, soy sauce, bok choy, pork, parsnips, pepper, garlic, sugar, white rice",232.0,374.663696
dish_1560368972,"pork, cherry tomatoes, garlic, shallots, white rice, salt, onions, basil, olive oil, brown rice, vinegar, pepper, broccoli, lemon juice, parsley",107.0,196.840424
dish_1561576590,"squash, olive oil, salt",101.0,29.231468
dish_1558723866,cauliflower,59.0,14.75
dish_1564778030,"millet, spinach (cooked), vinegar, onions, cheese pizza, broccoli, bok choy, mixed greens, shallots, blue cheese, beef, olive oil, mustard, garlic, walnuts, lettuce, salt",283.0,504.417786
dish_1561392512,berries,75.0,42.75
dish_1564675118,"olive oil, watermelon, sweet potato",238.0,177.188782
dish_1559319860,bacon,13.0,70.330002
dish_1559242568,pears,203.0,116.116005
dish_1563824339,"onions, cherry tomatoes, olives, bell peppers",175.0,85.339996
dish_1567021831,"cherry tomatoes, pepper, chive, wheat berry, kale, mustard, olive oil, garlic, walnuts, lemon juice, salt, fish, chard, blueberries, vinegar, arugula, parsley, shallots",228.0,252.435623
dish_1559846099,"mandarin oranges, almonds, broccoli",114.0,206.938995
dish_1562873155,"green beans, olive oil",79.0,41.33675
dish_1562094621,green beans,34.0,10.54
dish_1563900150,"sweet potato, olive oil, scrambled eggs",154.0,202.2966
dish_1562086702,bacon,33.0,178.529999
dish_1564429894,"quinoa, salt, squash, mayonnaise, arugula, parsley, carrot, couscous, pepper, wheat berry, pork, jalapenos, cabbage, shallots, thyme, olive oil, garlic, lemon juice, cauliflower",566.0,498.769836
dish_1561662458,"lettuce, lime, salt, mixed greens, onions, cucumbers, vinegar, corn on the cob, olive oil, pepper, cherry tomatoes",119.0,124.815498
dish_1558720364,apple,142.0,73.839996
dish_1559845290,potatoes,86.0,66.220001
dish_1559844506,"mandarin oranges, grapes, strawberries",180.0,98.959999
dish_1560360055,"sausage, scrambled eggs",180.0,362.734009
dish_1567106825,"bok choy, millet, blue cheese, onions, mustard, olive oil, shallots, spinach (cooked), mixed greens, salt, beef, vinegar, garlic, lettuce, walnuts",104.0,220.200867
dish_1560453380,"zucchini, brown rice, arugula, green beans, wheat berry, rosemary, tomatoes, chicken, pepper, kimchi, spinach (raw), squash, salmon, thyme, olive oil, basil, lemon juice, parsley, salt, garlic",480.0,411.388397
dish_1566849327,"parmesan cheese, mixed greens, avocado, olives, chicken",362.0,551.702026
dish_1560527191,"mustard greens, cucumbers, bacon, berries, tomatoes, garlic, potatoes, salt, sausage, mustard, vinegar, spinach (raw), olive oil",318.0,663.989319
dish_1563898786,"mustard, olive oil, bell peppers, broccoli, radishes, salt, garlic, scrambled eggs, vinegar, cucumbers",344.0,420.928467
dish_1560973958,"wheat berry, olive oil, mustard, pecans, lime, salt, raisins, pepper, arugula, orange",121.0,145.313232
dish_1563206582,"yam, egg whites, olive oil, sweet potato",320.0,229.248688
dish_1565207815,"brussels sprouts, salt, pepper, olive oil",80.0,40.848213
dish_1568314823,avocado,90.0,144.0
dish_1565119464,"millet, apple, cheese pizza, salt, olive oil, onions, cranberries, mustard, vinegar, spinach (raw), spinach (cooked), beef, shallots, bok choy",223.0,504.065033
dish_1565725047,"carrot, olives",110.0,77.659996
dish_1559841163,"blackberries, scrambled eggs, yam, sweet potato, chicken apple sausage, broccoli",335.0,357.043518
dish_1563568338,"salt, garlic, olive oil, kale, onions, wheat berry, mushroom, corn on the cob, ground turkey, chive, cheese pizza, carrot, thyme, celery, cream, white rice, eggs",371.0,631.706665
dish_1563468299,"cottage cheese, pineapple, watermelon, berries",385.0,210.350006
dish_1558027001,deprecated,68.0,20.400002
dish_1565033265,"olives, mixed greens, broccoli, chicken, vinaigrette, olive oil",625.0,1324.084961
dish_1563475921,"shallots, garlic, lemon juice, onions, spinach (raw), jalapenos, pineapple, cauliflower, honeydew melons, chili, salt, olive oil, lime, ginger, brown rice, cilantro, salmon",348.0,244.343323
dish_1561665024,"lemon juice, onions, olive oil, mixed greens, parsley, salt, apple, millet, green beans, vinegar",121.0,100.570984
dish_1563813308,"salt, pepper, brussels sprouts, olive oil, bacon",76.0,224.982895
dish_1561062555,"apple, shallots, salt, bulgur, olive oil, cranberries, lemon juice, mustard greens, parsley, arugula, garlic",32.0,47.093922
dish_1558723414,corn on the cob,49.0,51.988998
dish_1562691674,"sweet potato, olive oil, broccoli, egg whites, yam, greek yogurt, chia seeds, chicken apple sausage, milk",435.0,376.976868
dish_1566591080,"pepper, salmon, chicken, olives, arugula, brown rice, chicken salad, olive oil, thyme, carrot, salt",549.0,909.629578
dish_1564082462,"soy sauce, pesto, cherry tomatoes, brown rice, chard, spinach (raw), pork, cheese, caesar salad, parsley, white rice, sugar, garlic, carrot, salt, pepper, bok choy, pasta, olive oil, basil, rosemary, lemon juice, onions, chive, chicken",609.0,905.354492
dish_1562602860,"strawberries, milk, chia seeds, greek yogurt, watermelon",258.0,165.182281
dish_1561739954,"sweet potato, scrambled eggs",225.0,276.119995
dish_1558638983,corn on the cob,56.0,59.416
dish_1558631825,corn on the cob,112.0,118.832001
dish_1563216440,"wheat berry, olive oil, spinach (raw), cherry tomatoes, chicken breast, white rice, parmesan cheese, garlic, salt, broccoli, thyme",352.0,403.786346
dish_1559240908,orange,128.0,60.16
dish_1563395480,"corn, cheese, garlic, chili, black beans, spinach (raw), squash, bell peppers, onions, olive oil, sour cream, lemon juice, salt, hominy, cherry tomatoes, pepper, tortilla chips, jalapenos, parsley, cabbage, chicken thighs, lime, zucchini, cheese pizza, broccoli, carrot, tomatoes",329.0,370.521423
dish_1559235815,"cream cheese, bagels, strawberries, eggs",268.0,352.39502
dish_1565640272,"bell peppers, pepperoni pizza, cherry tomatoes",405.0,377.820007
dish_1565022062,"olive oil, egg whites, berries, sweet potato",366.0,234.606583
dish_1562960520,"pork, pepper, white rice, garlic, caesar salad, roasted potatoes, sugar, salt, soy sauce, bok choy",303.0,422.399261
dish_1560441270,"bok choy, potatoes",46.0,24.540001
dish_1561663855,"parsley, lemon juice, chive, garlic, millet, apple, brown rice, corn on the cob, vinegar, onions, olive oil, rosemary, basil, salt, chicken, mixed greens, carrot, chard",139.0,179.138412
dish_1563389199,"broccoli, garlic, pepper, arugula, vinegar, chard, blueberries, bulgur, olive oil, pecans, mustard, tofu, salt, carrot",284.0,390.254456
dish_1566488928,"cantaloupe, sweet potato, olive oil",147.0,103.048294
dish_1558723926,cherry tomatoes,107.0,19.26
dish_1563392128,"garlic, cilantro, lemon juice, onions, olive oil, salt, arugula, quinoa, fish, tomatillo, pepper, jalapenos",162.0,169.934235
dish_1563910171,"ginger, chard, salmon, cilantro, shallots, lime, lemon juice, onions, olive oil, vinegar, green beans, brown rice, spinach (raw), jalapenos, cherry tomatoes, garlic, chili, figs, salt, cucumbers, mustard",423.0,571.183777
dish_1560368990,"shallots, salt, pumpkin seeds, parsley, olive oil, brown rice, vinegar, pepper, arugula, white rice, garlic, carrot, broccoli, lettuce, onions, basil, lemon juice, mustard, pork, cherry tomatoes, mixed greens",119.0,211.92131
dish_1562958563,"olives, chicken salad",68.0,130.839996
dish_1561579617,"salt, eggplant, olive oil, cauliflower, roasted potatoes",304.0,130.172348
dish_1566333167,"vinegar, beef, bok choy, spinach (cooked), shallots, millet, salt, cheese pizza, olive oil, onions",140.0,344.544495
dish_1565033139,"mixed greens, broccoli, olives",274.0,193.649994
dish_1563464480,"bacon, watermelon, roasted potatoes, berries",213.0,229.490005
dish_1567020054,"shallots, garlic, parsley, salt, kale, brussels sprouts, lemon juice, olive oil, wheat berry, chive, chard, pepper, fish, cherry tomatoes",145.0,122.001411
dish_1568649387,"olive oil, sweet potato, broccoli, berries, yam",192.0,163.858185
dish_1565370004,"bacon, olive oil, scrambled eggs, green beans",370.0,570.884766
dish_1566499633,"onions, olive oil, vinegar, garlic, salt, sun dried tomatoes, olives, cucumbers, spinach (raw), mustard",139.0,161.386429
dish_1558719336,cauliflower,97.0,24.25
dish_1562602657,"pepper, salt, hash browns, brussels sprouts, sausage, olive oil",236.0,610.365173
dish_1558116201,sausage,91.0,313.585999
dish_1559668314,"scrambled eggs, garden salad, hash browns",300.0,551.546021
dish_1557861697,eggplant,53.0,13.144
dish_1558721484,cherry tomatoes,62.0,11.160001
dish_1565379251,"salt, pepper, olive oil, carrot",67.0,32.936092
dish_1563306392,"chicken, spinach (raw), wheat berry, thyme, olive oil, lemon juice, parsley, salt, garlic, shallots",288.0,477.465118
dish_1559843335,strawberries,77.0,25.410002
dish_1558549214,"white rice, potatoes, spinach (raw), cherry tomatoes, grapes",361.0,239.190002
dish_1562775488,"egg whites, sweet potato",145.0,91.239998
dish_1562787956,caesar salad,61.0,26.84
dish_1562775212,oatmeal,136.0,92.480003
dish_1559238435,pears,202.0,115.544006
dish_1562008813,"pears, quinoa, shallots, olive oil, lemon juice, mustard, vinegar, arugula, garlic, mixed greens, goat cheese, thyme, pecans, parsley, chard, blueberries, olives, cauliflower, salt",225.0,214.593262
dish_1568061202,"salt, pepper, brussels sprouts, olive oil, squash, pineapple, cheese pizza",334.0,256.551605
dish_1560445069,grapefruit juice,243.0,94.527
dish_1563900172,"scrambled eggs, cantaloupe, olive oil, sweet potato",255.0,236.636597
dish_1562785132,"fish, country rice, onions, olive oil, garlic, salt, green onions",192.0,211.542679
dish_1565383097,"spinach (raw), cucumbers, olives, chicken, parmesan cheese",430.0,479.248993
dish_1559233102,scrambled eggs,124.0,183.520004
dish_1560357427,grapefruit juice,241.0,93.749001
dish_1558031628,cantaloupe,92.0,31.280001
dish_1558029148,honeydew melons,108.0,38.880001
dish_1562959129,"fish, garlic, salt, pizza, onions, pepper, quinoa, artichokes, lemon juice, olive oil, arugula, jalapenos, tomatillo, parsnips, cilantro, roasted potatoes",293.0,412.873596
dish_1558641075,cherry tomatoes,69.0,12.42
dish_1560455158,"olive oil, arugula, vinegar, carrot, mixed greens, mustard, lettuce, pumpkin seeds, salt",55.0,69.12085
dish_1565972715,"cucumbers, vinegar, green beans, scrambled eggs, pepper, lettuce, chicken apple sausage, cherry tomatoes, lime, mixed greens, salt, olive oil, onions",510.0,657.545837
dish_1558724912,carrot,75.0,30.75
dish_1563913675,"spinach (raw), vinegar, chard, cherry tomatoes, cheese pizza, figs, salt, caesar salad, cucumbers, olive oil, mustard",228.0,282.693146
dish_1567542876,"white rice, soy sauce, onions, orange juice, kale, lemon juice, chili, cilantro, green onions, cheese pizza, broccoli, beef, pineapple, chicken thighs, vinegar, olive oil, garlic, salt",260.0,495.807739
dish_1561753075,"garlic, salmon, chicken thighs, onions, olive oil, chili, caesar salad, cilantro, cheese, pepper, brown rice, arugula, squash, thyme, tortilla, salt, tomatoes",668.0,945.670715
dish_1559244305,"arugula, pepper, vinegar, chickpeas, salt, parsley, olive oil, mustard greens",64.0,113.066399
dish_1561577573,"onions, bok choy, millet, beef, salt, spinach (cooked), shallots, olive oil, pizza, vinegar",346.0,755.432922
dish_1563550614,"sweet potato, olive oil, egg whites",205.0,132.824387
dish_1565204891,"olive oil, onions, brussels sprouts, chicken thighs, lemon juice, salt, garlic, pineapple, white rice, cilantro, pepper, vinegar, kale",314.0,302.886444
dish_1558115011,almonds,20.0,115.620003
dish_1559675234,"carrot, bell peppers, cherry tomatoes, brussels sprouts",120.0,36.970001
dish_1565638323,"salt, garlic, parsley, onions, zucchini, rosemary, olive oil, arugula, pork, brown rice, white rice",274.0,467.824677
dish_1561405836,cheese pizza,31.0,82.429001
dish_1565898659,"cherry tomatoes, tuna, olives, salmon, spinach (raw), onions, chili, cilantro, lime, salt, ginger, brown rice, jalapenos, lemon juice, olive oil, carrot, shallots, garlic",537.0,576.704529
dish_1562169818,"olive oil, vinaigrette, pepper, scrambled eggs, granola, mixed greens, salt, raspberries, blackberries, brussels sprouts",275.0,346.819672
dish_1559934679,"quinoa, wine, eggplant, mushroom, chicken thighs, squash, salt, lemon juice, shallots, caesar salad, spinach (cooked), garlic, olive oil",146.0,160.845459
dish_1562698276,"spinach (cooked), shallots, salt, onions, broccoli, olive oil, vinegar, white rice, beef, millet, bok choy",307.0,434.58316
dish_1558718051,cauliflower,97.0,24.25
dish_1560368764,"olive oil, mustard, pumpkin seeds, carrot, mixed greens, lettuce, salt, asparagus, tofu, arugula, eggplant, vinegar",270.0,207.098907
dish_1563563317,"olives, grilled chicken, cherry tomatoes, carrot",252.0,345.84198
dish_1565895966,"bok choy, salt, onions, kale, olive oil, vinegar, shallots, green beans, chard, beef, spinach (cooked), millet",287.0,214.544357
dish_1566933226,"couscous, garlic, parsley, basil, lemon juice, olive oil, thyme, salt, chicken thighs, brown rice, radishes, arugula, vinegar",171.0,245.449509
dish_1558458737,white rice,32.0,41.599998
dish_1561392593,"vinegar, olive oil, broccoli, berries, bell peppers, radishes, salt, garlic, scrambled eggs, mustard, cucumbers",325.0,354.044922
dish_1566416421,"wheat berry, lemon juice, green beans, chard, fish, cherry tomatoes, garlic, roasted potatoes, shallots, chive, salt, parsley, olive oil, eggplant",367.0,313.741882
dish_1562009120,"brussels sprouts, tofu, salt, pepper, olive oil",146.0,95.610138
dish_1562872365,bok choy,76.0,9.879999
dish_1563910137,"vinegar, chard, spinach (raw), cherry tomatoes, green beans, olive oil, salt, cucumbers, figs, mustard",141.0,131.283218
dish_1558721726,apple,143.0,74.360001
dish_1566931586,"olives, mixed greens, chicken, broccoli",389.0,379.380005
dish_1563908923,caesar salad,112.0,49.279999
dish_1563552016,"syrup, waffles",174.0,493.589081
dish_1562784307,"salt, pizza, olive oil, eggplant, corn on the cob",157.0,158.518127
dish_1564761388,egg whites,105.0,54.599998
dish_1561576295,"onions, cucumbers, lettuce, bell peppers, roasted potatoes, olives, vinaigrette, cherry tomatoes, feta cheese",232.0,249.067139
dish_1562876618,cheese pizza,43.0,114.336998
dish_1565640427,brownies,42.0,195.761993
dish_1559841808,"grapes, mandarin oranges, cereal",96.0,73.110001
dish_1560788349,yogurt,134.0,78.925995
dish_1566847431,"quinoa, arugula, olive oil, thyme, lemon juice, parsley, salt, shallots, garlic",90.0,101.240509
dish_1565726812,"broccoli, olive oil",65.0,36.209755
dish_1561061687,"shallots, garlic, croutons, jalapenos, onions, cranberries, mustard greens, kale, lemon juice, olive oil, salt, parsley, salmon, ginger, spinach (raw), pepper, parmesan cheese, brown rice, arugula, cilantro, lime, caesar dressing, brussels sprouts, bulgur, chili, apple",408.0,508.347748
dish_1563996279,"salt, carrot, cauliflower, olive oil, pepper",278.0,98.490021
dish_1558115448,grapes,94.0,64.860001
dish_1559843030,strawberries,77.0,25.410002
dish_1564073860,bacon,91.0,492.309998
dish_1561739973,"broccoli, scrambled eggs, sweet potato",280.0,295.369995
dish_1559240441,strawberries,59.0,19.470001
dish_1565984434,"quinoa, ground turkey, onions, celery, kale, olive oil, thyme, chive, pepper, white rice, cauliflower, cream, mushroom, eggs, carrot, salt, garlic",430.0,319.892303
dish_1563811686,"scrambled eggs, strawberries, olive oil, salt, pepper, sweet potato, brussels sprouts",331.0,319.428375
dish_1561060925,"brussels sprouts, salt, tofu, pepper, olive oil",156.0,93.914848
dish_1561663817,"salt, mixed greens, olive oil, lemon juice, onions, parsley, corn on the cob, vinegar, millet, apple",86.0,95.495369
dish_1566922978,scrambled eggs,84.0,124.32
dish_1566316587,"olive oil, vinegar, radishes, bacon, garlic, bell peppers, scrambled eggs, salt, cucumbers, mustard, hash browns",311.0,646.768066
dish_1560367715,"broccoli, brown rice, vinegar, pork, olive oil, lemon juice, salt, croutons, white rice, cherry tomatoes, pepper, onions, parsley, shallots, garlic, basil",305.0,597.531189
dish_1561575613,"walnuts, salt, mustard, olive oil, vinegar, chard, blueberries, arugula, pepper",70.0,86.411438
dish_1558639266,corn on the cob,29.0,30.768999
dish_1558723537,cauliflower,58.0,14.5
dish_1566317742,"blackberries, oatmeal",254.0,154.720001
dish_1565195493,"sweet potato, chicken apple sausage, bacon, olive oil, egg whites",291.0,406.998535
dish_1559235690,eggs,111.0,172.604996
dish_1560529844,"berries, sweet potato, watermelon",168.0,91.68
dish_1563913709,"olive oil, cucumbers, fried rice, caesar salad, salt, cheese pizza, figs, cherry tomatoes, mustard, chard, vinegar, spinach (raw)",263.0,337.888184
dish_1563305883,"olive oil, spinach (raw), parmesan cheese, croutons, vinegar, apple, salt, mustard, onions, cranberries, caesar dressing, kale",77.0,83.052505
dish_1558639335,apple,116.0,60.32
dish_1560454488,"mixed greens, garlic, salt, cucumbers, parsley, olive oil, vinegar, cherry tomatoes, carrot",42.0,48.244003
dish_1559933793,"salt, pepper, olive oil, brussels sprouts",111.0,56.676903
dish_1564159636,"sausage, olive oil, pepper, salt, turkey bacon, bacon, brussels sprouts",134.0,487.873688
dish_1558724574,brussels sprouts,118.0,50.740002
dish_1558718009,cantaloupe,76.0,25.84
dish_1562873544,"carrot, pepper, sour cream, arugula, nopales, salt, garlic, fish, jicama, corn, olive oil, parsley, chive, cheese pizza, lime, caesar salad",201.0,193.61171
dish_1562945823,"granola, mixed greens, blackberries, raspberries, vinaigrette, honeydew melons, cantaloupe",99.0,62.19532
dish_1558725403,almonds,50.0,289.050018
dish_1564516366,olives,27.0,31.049999
dish_1561752996,"garlic, arugula, brown rice, thyme, salt, cilantro, cheese, salmon, pepper, chicken thighs, olive oil, tortilla, onions, tomatoes, chili",415.0,848.655762
dish_1558381032,almonds,20.0,115.620003
dish_1558549150,grapes,66.0,45.540001
dish_1562958629,"chicken salad, chickpeas, artichokes, olives",172.0,208.970001
dish_1558725253,broccoli,97.0,33.950001
dish_1565036821,"soy sauce, salt, vinegar, olive oil, beef, white rice, orange juice, chili, green onions, broccoli, garlic, kale, cheese pizza, onions",134.0,325.539917
dish_1558628921,carrot,60.0,24.6
dish_1558032156,bacon,26.0,140.660004
dish_1561062320,"wine, shallots, cranberries, mushroom, spinach (raw), jalapenos, cream, thyme, lemon juice, sour cream, parsley, white rice, salmon, cilantro, ginger, beef, pasta, brown rice, arugula, mustard greens, olive oil, apple, bulgur, lime, salt, onions, chili, garlic",202.0,307.868378
dish_1560798960,"cauliflower, croutons, sunflower seeds, garlic, onions, tofu, parmesan cheese, spinach (raw), caesar dressing, olive oil, mustard, kale, lemon juice, broccoli, carrot, salt, mixed greens, pears, cherry tomatoes, squash, vinegar, cranberries, cheese pizza, raisins",429.0,493.720886
dish_1560366438,"asparagus, salt, mustard, eggplant, pepper, blueberries, arugula, vinegar, chard, olive oil, walnuts",136.0,71.93322
dish_1565987201,"cucumbers, spinach (raw), parmesan cheese, caesar dressing, chicken, olives",522.0,560.658997
dish_1563393148,"broccoli, squash, zucchini",118.0,27.730003
dish_1562699570,brown rice,22.0,24.42
dish_1566931140,"cauliflower, avocado",199.0,126.700005
dish_1560360112,"berries, scrambled eggs, sausage",248.0,401.494019
dish_1566501473,"olives, carrot, lemon juice, almonds, cherry tomatoes, onions, tuna",371.0,413.942017
dish_1560368738,"olive oil, mustard, salt, lettuce, pumpkin seeds, mixed greens, carrot, asparagus, eggplant, arugula, vinegar",225.0,174.248901
dish_1558544870,"eggs, berries",170.0,198.354996
dish_1562170163,pineapple,107.0,53.5
dish_1562611522,cheese pizza,50.0,132.949997
dish_1562614158,"apple, white rice, vinegar, lemon juice, cranberries, olive oil, kale, pineapple, jalapenos, spinach (raw), steak, mustard, onions, salt, cilantro, garlic, broccoli",301.0,453.931671
dish_1562785369,"bulgur, salt, mustard greens, vinegar, lemon juice, basil, apple, cherry tomatoes, broccoli, shallots, olive oil, cranberries, parsley, pork, brown rice, arugula, onions, pepper, garlic",232.0,440.577881
dish_1563479568,"goat cheese, apple, salt, lemon juice, brussels sprouts, olive oil, mustard greens, arugula, pepper, figs",82.0,83.673561
dish_1562871731,bok choy,131.0,17.029999
dish_1562007789,"garlic, caesar salad, shallots, brussels sprouts, thyme, olive oil, lemon juice, parsley, pepper, arugula, salt, quinoa",322.0,302.954895
dish_1567537352,"cucumbers, bell peppers, lettuce, cherry tomatoes, vinaigrette, olives, feta cheese, onions",73.0,50.792469
dish_1563824279,"onions, olives",79.0,58.599998
dish_1568400935,mixed greens,42.0,11.76
dish_1558635994,grapes,136.0,93.839996
dish_1562611853,"salt, broccoli, chickpeas, parsley, mustard greens, olive oil, arugula, vinegar, pepper",243.0,267.213989
dish_1566592456,caesar salad,126.0,55.439999
dish_1562874250,"garlic, lime, fish, arugula, green beans, corn, carrot, chive, salt, nopales, parsley, sour cream, olive oil, jicama, pepper",393.0,394.440033
